version:v1.0,,,,,,,,,,,,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Example: Chris Green,chris@contoso.com,YY9244996, No,Hall,Nichols,Flight Simulation Engineer ,,,2790  Mayotte Ave.,SV,,,Aberdeen,29333,370-972-0932,
Nichols Hall,Cortez@domainname.onmicrosoft.com,OX2012496, No,Hoyt,Cortez,Payloads Operations Engineer,,,75537 East Antarctica Way,HN,,,Bowie,97709,704-535-7558,
Cortez Hoyt,Bean@domainname.onmicrosoft.com,EZ1283991, No,Adrienne,Bean,Operations Lead ,,,38176 West Irvine St.,DZ,,,Sun Valley,17487,335-103-4606,
Bean Adrienne,Cote@domainname.onmicrosoft.com,SB7110599, No,Oliver,Cote,Program Planning Specialist ,,,57345 North Thailand Blvd.,LV,,,Union City,44587,962-541-9255,
Cote Oliver,Glenn@domainname.onmicrosoft.com,BW9951069, No,Sasha,Glenn,HST Computer Specialists,,,90463 North Georgia Way,DK,,,Aliso Viejo,11325,141-441-8220,
Glenn Sasha,Foreman@domainname.onmicrosoft.com,YT9309486, No,Wing,Foreman,Material Research Engineer,,,52109  Belarus Blvd.,IL,,,Gaithersburg,35757,528-497-9594,
Foreman Wing,Joyner@domainname.onmicrosoft.com,PP6914145, No,Phillip,Joyner,Multimedia Specialist,,,850 West Nicaragua Ln.,SV,,,Long Beach,94336,787-650-2742,
Joyner Phillip,Espinoza@domainname.onmicrosoft.com,WM5652868, No,Miranda,Espinoza,Science and Sequencing Office Manager,,,57629 North Clemson Ave.,DK,,,Brunswick,64833,138-898-2252,
Espinoza Miranda,Shelton@domainname.onmicrosoft.com,OX7954621, No,Brody,Shelton,Interdisciplinary Scientist,,,27762 South France Way,PY,,,Laredo,1187,174-082-2550,
Shelton Brody,Joseph@domainname.onmicrosoft.com,QO7551713, No,Reece,Joseph,Magnetometer (MAG) Science Coordinator,,,90136 West Portland Ave.,SY,,,San Dimas,38620,949-290-0323,
Joseph Reece,Thornton@domainname.onmicrosoft.com,ZW9317732, No,Jolene,Thornton,Computer Engineer,,,18656 East Guam Way,FO,,,Palmdale,31685,051-218-1420,
Thornton Jolene,Logan@domainname.onmicrosoft.com,FQ2078681, No,Germane,Logan,Program Scientist,,,44322 East Beverly Hills Ave.,MX,,,Oil City,23135,141-438-6327,
Logan Germane,Holt@domainname.onmicrosoft.com,PK3221549, No,Genevieve,Holt,K-12 Outreach Support Personnel,,,35780 East El Paso Ave.,AR,,,Decatur,82054,850-294-8916,
Holt Genevieve,Gross@domainname.onmicrosoft.com,UY4833002, No,Hall,Gross,Lead Altimetry Analyst,,,48820 West Parker Way,PA,,,West Warwick,48838,963-839-9356,
Gross Hall,Mcbride@domainname.onmicrosoft.com,XC1501323, No,Abigail,Mcbride,Manager Space Shuttle Office,,,9958 East Catskill Ln.,LI,,,Lomita,29559,893-288-0821,
Mcbride Abigail,Rollins@domainname.onmicrosoft.com,DJ9000887, No,Xyla,Rollins,Computer Technician,,,71102  India Ln.,MN,,,Homer,1489,765-060-1982,
Rollins Xyla,Bradford@domainname.onmicrosoft.com,BR3861214, No,Macy,Bradford,Pharmacologist,,,85555 North Moline Way,MO,,,Kearns,89613,079-081-0455,
Bradford Macy,Duncan@domainname.onmicrosoft.com,TW696297, No,Noelani,Duncan,High School Science Teacher ,,,7953  Clarksburg Ave.,AM,,,Tok,87043,257-046-3154,
Duncan Noelani,Rogers@domainname.onmicrosoft.com,NU8339878, No,Doris,Rogers,Senior Project Engineer -- Earthkam,,,38268 East Belize Ct.,SK,,,Phoenix,72203,859-702-8443,
Rogers Doris,Hardy@domainname.onmicrosoft.com,SZ3885587, No,Phillip,Hardy,Payload Project Manager,,,22768 East American Samoa Ct.,CN,,,Chula Vista,21218,572-669-0467,
